created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2019-11-06 23:12:11 -02,1,29.63000,67.84668,101330.78125,,,,
2019-11-06 23:12:32 -02,2,29.66000,67.78223,101331.00000,,,,
2019-11-06 23:12:53 -02,3,29.74000,67.63281,101330.17187,,,,
2019-11-06 23:13:13 -02,4,29.71000,67.43164,101331.56250,,,,
2019-11-06 23:13:34 -02,5,29.76000,67.57813,101329.11719,,,,
2019-11-06 23:13:55 -02,6,29.78000,67.45508,101323.22656,,,,
2019-11-06 23:14:20 -02,7,29.47000,68.05273,101337.55469,,,,
2019-11-06 23:14:41 -02,8,29.40000,68.07617,101337.18750,,,,
2019-11-06 23:15:02 -02,9,29.36000,68.37988,101337.38281,,,,
2019-11-06 23:15:23 -02,10,29.32000,68.43359,101339.28125,,,,
2019-11-06 23:15:43 -02,11,29.29000,68.50879,101337.18750,,,,
2019-11-06 23:16:04 -02,12,29.25000,68.58301,101338.23438,,,,
2019-11-06 23:16:25 -02,13,29.20000,68.59961,101336.12500,,,,
2019-11-06 23:16:45 -02,14,29.18000,68.65234,101333.24219,,,,
2019-11-06 23:17:06 -02,15,29.18000,68.70996,101337.09375,,,,
2019-11-06 23:17:27 -02,16,29.17000,68.80078,101336.50000,,,,
2019-11-06 23:17:47 -02,17,29.16000,68.82031,101338.10937,,,,
2019-11-06 23:18:08 -02,18,29.18000,68.81348,101335.21875,,,,
2019-11-06 23:18:29 -02,19,29.16000,68.76465,101335.14062,,,,
2019-11-06 23:18:50 -02,20,29.19000,68.70996,101332.64844,,,,
2019-11-06 23:19:10 -02,21,29.18000,68.73340,101333.15625,,,,
2019-11-06 23:19:31 -02,22,29.18000,68.67578,101336.21094,,,,
2019-11-06 23:19:52 -02,23,29.16000,68.57910,101332.42188,,,,
2019-11-06 23:20:13 -02,24,29.16000,68.64844,101336.57812,,,,
2019-11-06 23:20:33 -02,25,29.15000,68.70605,101335.81250,,,,
2019-11-06 23:20:54 -02,26,29.13000,68.70313,101336.18750,,,,
2019-11-06 23:21:14 -02,27,29.13000,68.69141,101335.67187,,,,
2019-11-06 23:21:35 -02,28,29.14000,68.65820,101334.90625,,,,
2019-11-06 23:21:56 -02,29,29.13000,68.60937,101331.51563,,,,
