created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2019-11-07 01:12:11 UTC,1,29.63000,67.84668,101330.78125,,,,
2019-11-07 01:12:32 UTC,2,29.66000,67.78223,101331.00000,,,,
2019-11-07 01:12:53 UTC,3,29.74000,67.63281,101330.17187,,,,
2019-11-07 01:13:13 UTC,4,29.71000,67.43164,101331.56250,,,,
2019-11-07 01:13:34 UTC,5,29.76000,67.57813,101329.11719,,,,
2019-11-07 01:13:55 UTC,6,29.78000,67.45508,101323.22656,,,,
2019-11-07 01:14:20 UTC,7,29.47000,68.05273,101337.55469,,,,
2019-11-07 01:14:41 UTC,8,29.40000,68.07617,101337.18750,,,,
2019-11-07 01:15:02 UTC,9,29.36000,68.37988,101337.38281,,,,
2019-11-07 01:15:23 UTC,10,29.32000,68.43359,101339.28125,,,,
2019-11-07 01:15:43 UTC,11,29.29000,68.50879,101337.18750,,,,
2019-11-07 01:16:04 UTC,12,29.25000,68.58301,101338.23438,,,,
2019-11-07 01:16:25 UTC,13,29.20000,68.59961,101336.12500,,,,
2019-11-07 01:16:45 UTC,14,29.18000,68.65234,101333.24219,,,,
2019-11-07 01:17:06 UTC,15,29.18000,68.70996,101337.09375,,,,
2019-11-07 01:17:27 UTC,16,29.17000,68.80078,101336.50000,,,,
2019-11-07 01:17:47 UTC,17,29.16000,68.82031,101338.10937,,,,
2019-11-07 01:18:08 UTC,18,29.18000,68.81348,101335.21875,,,,
2019-11-07 01:18:29 UTC,19,29.16000,68.76465,101335.14062,,,,
2019-11-07 01:18:50 UTC,20,29.19000,68.70996,101332.64844,,,,
2019-11-07 01:19:10 UTC,21,29.18000,68.73340,101333.15625,,,,
2019-11-07 01:19:31 UTC,22,29.18000,68.67578,101336.21094,,,,
2019-11-07 01:19:52 UTC,23,29.16000,68.57910,101332.42188,,,,
2019-11-07 01:20:13 UTC,24,29.16000,68.64844,101336.57812,,,,
2019-11-07 01:20:33 UTC,25,29.15000,68.70605,101335.81250,,,,
2019-11-07 01:20:54 UTC,26,29.13000,68.70313,101336.18750,,,,
2019-11-07 01:21:14 UTC,27,29.13000,68.69141,101335.67187,,,,
2019-11-07 01:21:35 UTC,28,29.14000,68.65820,101334.90625,,,,
2019-11-07 01:21:56 UTC,29,29.13000,68.60937,101331.51563,,,,
2019-11-07 01:22:17 UTC,30,29.13000,68.59961,101330.50000,,,,
2019-11-07 01:22:37 UTC,31,29.13000,68.65723,101345.93750,,,,
2019-11-07 01:22:58 UTC,32,29.11000,68.62988,101341.77344,,,,
2019-11-07 01:23:19 UTC,33,29.13000,68.63281,101344.57812,,,,
2019-11-07 01:23:40 UTC,34,29.13000,68.58789,101335.15625,,,,
2019-11-07 01:24:00 UTC,35,29.13000,68.57715,101335.15625,,,,
2019-11-07 01:24:21 UTC,36,29.13000,68.50781,101338.04687,,,,
2019-11-07 01:24:42 UTC,37,29.10000,68.51563,101334.25000,,,,
2019-11-07 01:25:02 UTC,38,29.11000,68.53809,101334.00000,,,,
2019-11-07 01:25:23 UTC,39,29.12000,68.54102,101333.96875,,,,
2019-11-07 01:25:44 UTC,40,29.12000,68.46094,101332.78125,,,,
2019-11-07 01:26:04 UTC,41,29.14000,68.50781,101335.67187,,,,
2019-11-07 01:26:25 UTC,42,29.15000,68.52246,101323.59375,,,,
2019-11-07 01:26:46 UTC,43,29.15000,68.54492,101334.20312,,,,
2019-11-07 01:27:07 UTC,44,29.15000,68.55566,101336.57812,,,,
2019-11-07 01:27:27 UTC,45,29.16000,68.48730,101330.38281,,,,
2019-11-07 01:27:48 UTC,46,29.13000,68.57715,101333.54688,,,,
2019-11-07 01:28:09 UTC,47,29.13000,68.58789,101332.78906,,,,
2019-11-07 01:28:29 UTC,48,29.15000,68.60254,101328.51563,,,,
2019-11-07 01:28:50 UTC,49,29.16000,68.52344,101328.77344,,,,
2019-11-07 01:29:11 UTC,50,29.17000,68.53613,101327.58594,,,,
2019-11-07 01:29:31 UTC,51,29.18000,68.52637,101333.57812,,,,
2019-11-07 01:29:52 UTC,52,29.15000,68.46484,101333.43750,,,,
2019-11-07 01:30:13 UTC,53,29.08000,68.53516,101339.67187,,,,
2019-11-07 01:30:34 UTC,54,29.05000,68.56445,101337.32813,,,,
2019-11-07 01:30:54 UTC,55,28.99000,68.61230,101333.56250,,,,
